CMDLINE /home/mdzaja/installations/miniconda3/envs/mt/bin/python hp_opt.py
MEM 2122.523438 1702668320.5063
MEM 2124.585938 1702668320.6065
MEM 2125.019531 1702668320.7066
MEM 2125.425781 1702668320.8068
MEM 2125.851562 1702668320.9070
MEM 2126.238281 1702668321.0071
MEM 2127.363281 1702668321.1073
MEM 2129.683594 1702668321.2074
MEM 2130.066406 1702668321.3075
MEM 2130.453125 1702668321.4077
MEM 2130.882812 1702668321.5079
MEM 2131.281250 1702668321.6080
MEM 2132.644531 1702668321.7082
MEM 2134.707031 1702668321.8084
MEM 2134.964844 1702668321.9086
MEM 2136.289062 1702668322.0087
MEM 2137.511719 1702668322.1089
MEM 2138.082031 1702668322.2090
MEM 2138.597656 1702668322.3091
MEM 2138.855469 1702668322.4093
MEM 2143.238281 1702668322.5094
MEM 2183.542969 1702668322.6095
MEM 2209.324219 1702668322.7097
MEM 2209.324219 1702668322.8099
MEM 2212.906250 1702668322.9101
MEM 2218.554688 1702668323.0102
MEM 2277.191406 1702668323.1104
MEM 2444.250000 1702668323.2106
MEM 2642.738281 1702668323.3108
MEM 2829.781250 1702668323.4110
MEM 3032.578125 1702668323.5112
MEM 3215.320312 1702668323.6115
MEM 3405.285156 1702668323.7117
MEM 3624.058594 1702668323.8119
MEM 3810.937500 1702668323.9121
MEM 3982.015625 1702668324.0123
MEM 4155.566406 1702668324.1125
MEM 4173.496094 1702668324.2127
MEM 4174.191406 1702668324.3129
MEM 4179.832031 1702668324.4131
MEM 4181.378906 1702668324.5132
MEM 4181.398438 1702668324.6134
MEM 4260.488281 1702668324.7136
MEM 4361.597656 1702668324.8138
MEM 4363.468750 1702668324.9140
MEM 4369.003906 1702668325.0141
MEM 4371.039062 1702668325.1143
MEM 4372.593750 1702668325.2146
MEM 4372.910156 1702668325.3148
MEM 4373.449219 1702668325.4150
MEM 4376.179688 1702668325.5152
MEM 4384.402344 1702668325.6154
MEM 4387.113281 1702668325.7156
MEM 4389.871094 1702668325.8157
MEM 4530.300781 1702668325.9159
MEM 4597.148438 1702668326.0161
MEM 4649.250000 1702668326.1164
MEM 4801.921875 1702668326.2165
MEM 4803.871094 1702668326.3167
MEM 4808.742188 1702668326.4169
MEM 4810.062500 1702668326.5171
MEM 4810.394531 1702668326.6172
MEM 4810.398438 1702668326.7174
MEM 4810.472656 1702668326.8175
MEM 4810.570312 1702668326.9176
MEM 4810.570312 1702668327.0177
MEM 4810.812500 1702668327.1179
MEM 4708.203125 1702668327.2180
MEM 4709.105469 1702668327.3182
MEM 4709.687500 1702668327.4183
MEM 4710.199219 1702668327.5184
MEM 4711.304688 1702668327.6185
MEM 4711.328125 1702668327.7186
MEM 4712.238281 1702668327.8188
MEM 4712.992188 1702668327.9189
MEM 4713.507812 1702668328.0190
MEM 4714.296875 1702668328.1192
MEM 4715.242188 1702668328.2193
MEM 4715.765625 1702668328.3194
MEM 4716.277344 1702668328.4196
MEM 4717.355469 1702668328.5197
MEM 4717.355469 1702668328.6198
MEM 4718.484375 1702668328.7200
MEM 4719.074219 1702668328.8202
MEM 4719.589844 1702668328.9203
MEM 4720.562500 1702668329.0204
MEM 4721.523438 1702668329.1206
MEM 4722.066406 1702668329.2207
MEM 4722.578125 1702668329.3209
MEM 4723.722656 1702668329.4210
MEM 4723.976562 1702668329.5212
MEM 4724.585938 1702668329.6213
MEM 4724.843750 1702668329.7214
MEM 4751.656250 1702668329.8216
MEM 4753.863281 1702668329.9218
MEM 4760.933594 1702668330.0220
MEM 4774.808594 1702668330.1222
MEM 4788.597656 1702668330.2224
MEM 4790.144531 1702668330.3226
MEM 4791.917969 1702668330.4229
MEM 4793.468750 1702668330.5230
MEM 4793.289062 1702668330.6232
MEM 4793.386719 1702668330.7235
MEM 4795.285156 1702668330.8237
MEM 4797.691406 1702668330.9239
MEM 4799.761719 1702668331.0241
MEM 4800.085938 1702668331.1243
MEM 4800.066406 1702668331.2245
MEM 4800.839844 1702668331.3246
MEM 4800.808594 1702668331.4247
MEM 4802.679688 1702668331.5249
MEM 4802.671875 1702668331.6250
MEM 4804.031250 1702668331.7251
MEM 4806.101562 1702668331.8253
MEM 4807.937500 1702668331.9254
MEM 4809.496094 1702668332.0256
MEM 4809.789062 1702668332.1258
MEM 4810.058594 1702668332.2260
MEM 4815.703125 1702668332.3261
MEM 4815.761719 1702668332.4262
MEM 4816.710938 1702668332.5263
MEM 4820.847656 1702668332.6265
MEM 4822.218750 1702668332.7266
MEM 4822.484375 1702668332.8268
MEM 4822.238281 1702668332.9269
MEM 4824.085938 1702668333.0271
MEM 4824.355469 1702668333.1272
MEM 4824.132812 1702668333.2274
MEM 4824.839844 1702668333.3275
MEM 4825.093750 1702668333.4277
MEM 4826.679688 1702668333.5279
MEM 4827.457031 1702668333.6280
MEM 4827.402344 1702668333.7282
MEM 4828.773438 1702668333.8284
MEM 4830.843750 1702668333.9285
MEM 4830.625000 1702668334.0287
MEM 4830.652344 1702668334.1288
MEM 4830.917969 1702668334.2290
MEM 4830.667969 1702668334.3291
MEM 4832.035156 1702668334.4293
MEM 4833.582031 1702668334.5294
MEM 4833.402344 1702668334.6296
MEM 4833.667969 1702668334.7298
MEM 4833.417969 1702668334.8300
MEM 4835.265625 1702668334.9301
MEM 4835.531250 1702668335.0303
MEM 4837.125000 1702668335.1305
MEM 4837.644531 1702668335.2307
MEM 4837.558594 1702668335.3309
MEM 4838.929688 1702668335.4311
MEM 4838.917969 1702668335.5313
MEM 4839.187500 1702668335.6315
MEM 4838.929688 1702668335.7317
MEM 4839.957031 1702668335.8320
MEM 4841.511719 1702668335.9321
MEM 4841.328125 1702668336.0323
MEM 4842.687500 1702668336.1324
MEM 4844.238281 1702668336.2326
MEM 4844.054688 1702668336.3328
MEM 4844.562500 1702668336.4330
MEM 4844.820312 1702668336.5331
MEM 4844.738281 1702668336.6333
MEM 4846.800781 1702668336.7334
MEM 4846.593750 1702668336.8337
